TimeSeconds,Setpoint,ProcessValue,Output
0.0,50.0,21.79,100.0
0.5,50.0,22.99,100.0
1.0,50.0,25.39,100.0
1.5,50.0,27.15,100.0
2.0,50.0,31.00,100.0
2.5,50.0,33.19,100.0
3.0,50.0,37.27,100.0
3.5,50.0,39.49,100.0
4.0,50.0,43.07,100.0
4.5,50.0,45.11,97.8
5.0,50.0,48.51,29.8
5.5,50.0,49.69,6.2
6.0,50.0,50.26,0.0
6.5,50.0,50.01,0.0
7.0,50.0,49.47,10.6
7.5,50.0,47.78,44.4
8.0,50.0,47.27,54.5
8.5,50.0,47.12,57.6
9.0,50.0,47.22,55.5
9.5,50.0,47.32,53.6
10.0,50.0,47.27,54.5
10.5,50.0,48.25,35.0
11.0,50.0,47.99,40.2
11.5,50.0,48.04,39.3
12.0,50.0,48.44,31.1
12.5,50.0,47.95,41.1
13.0,50.0,47.97,40.7
13.5,50.0,47.96,40.8
14.0,50.0,47.87,42.5
14.5,50.0,47.59,48.2
15.0,50.0,47.32,53.5
15.5,50.0,47.74,45.3
16.0,50.0,47.69,46.2
16.5,50.0,47.77,44.7
17.0,50.0,48.16,36.7
17.5,50.0,48.29,34.1
18.0,50.0,48.06,38.8
18.5,50.0,47.80,43.9
19.0,50.0,47.95,41.0
19.5,50.0,47.79,44.2
20.0,50.0,47.80,44.0
20.5,50.0,47.75,45.1
21.0,50.0,47.58,48.4
21.5,50.0,47.77,44.7
22.0,50.0,48.13,37.4
22.5,50.0,47.66,46.9
23.0,50.0,48.04,39.3
23.5,50.0,48.05,39.1
24.0,50.0,47.47,50.6
24.5,50.0,48.02,39.6
25.0,50.0,47.75,44.9
25.5,50.0,47.74,45.1
26.0,50.0,47.81,43.8
26.5,50.0,47.69,46.2
27.0,50.0,48.10,38.1
27.5,50.0,47.96,40.8
28.0,50.0,48.04,39.3
28.5,50.0,48.00,40.0
29.0,50.0,47.54,49.1
29.5,50.0,48.01,39.7
