TimeSeconds,Setpoint,ProcessValue,Output
0.0,50.0,39.17,45.5
0.5,50.0,39.58,43.5
1.0,50.0,40.73,36.3
1.5,50.0,40.95,42.8
2.0,50.0,41.58,39.5
2.5,50.0,42.22,38.4
3.0,50.0,42.05,45.6
3.5,50.0,42.43,42.2
4.0,50.0,42.79,42.4
4.5,50.0,43.26,41.2
5.0,50.0,43.70,40.8
5.5,50.0,44.07,41.0
6.0,50.0,44.34,41.6
6.5,50.0,44.51,42.6
7.0,50.0,44.41,45.9
7.5,50.0,44.84,41.9
8.0,50.0,44.92,44.7
8.5,50.0,45.20,43.4
9.0,50.0,45.41,43.8
9.5,50.0,45.85,41.5
10.0,50.0,45.92,44.4
10.5,50.0,46.11,43.6
11.0,50.0,46.31,43.5
11.5,50.0,46.55,43.0
12.0,50.0,46.58,44.8
12.5,50.0,46.56,45.9
13.0,50.0,46.73,44.7
13.5,50.0,46.87,44.9
14.0,50.0,47.01,45.0
14.5,50.0,47.07,45.8
15.0,50.0,47.19,45.5
15.5,50.0,47.09,47.8
16.0,50.0,47.31,45.6
16.5,50.0,47.68,43.7
17.0,50.0,47.69,46.3
17.5,50.0,47.61,47.6
18.0,50.0,48.20,41.5
18.5,50.0,47.85,49.0
19.0,50.0,48.55,40.2
19.5,50.0,48.11,49.1
