TimeSeconds,Setpoint,ProcessValue,Output
0.0,50.0,47.90,8.8
0.5,50.0,47.67,11.6
1.0,50.0,46.99,17.6
1.5,50.0,46.26,21.6
2.0,50.0,45.21,28.7
2.5,50.0,44.92,26.3
3.0,50.0,43.99,35.1
3.5,50.0,43.53,35.3
4.0,50.0,43.57,33.5
4.5,50.0,43.57,34.9
5.0,50.0,43.25,39.6
5.5,50.0,43.24,39.0
6.0,50.0,43.32,39.6
6.5,50.0,43.23,42.3
7.0,50.0,43.39,41.5
7.5,50.0,43.47,42.9
8.0,50.0,43.54,44.0
8.5,50.0,44.11,39.9
9.0,50.0,44.46,41.0
9.5,50.0,44.71,41.5
10.0,50.0,44.40,47.3
10.5,50.0,44.95,41.0
11.0,50.0,45.15,43.3
11.5,50.0,45.33,43.5
12.0,50.0,45.54,43.5
12.5,50.0,45.43,46.7
13.0,50.0,46.03,40.9
13.5,50.0,46.26,42.9
14.0,50.0,46.19,45.7
14.5,50.0,46.09,47.1
15.0,50.0,46.78,40.2
15.5,50.0,46.59,47.0
16.0,50.0,46.85,43.9
16.5,50.0,47.19,42.5
17.0,50.0,46.78,49.4
17.5,50.0,47.06,44.7
18.0,50.0,47.57,41.7
18.5,50.0,47.41,46.9
19.0,50.0,47.59,44.7
19.5,50.0,47.59,46.3
20.0,50.0,47.84,44.1
20.5,50.0,48.10,43.4
21.0,50.0,47.87,47.7
21.5,50.0,48.27,42.7
22.0,50.0,47.84,49.8
22.5,50.0,48.14,44.6
23.0,50.0,48.42,43.9
23.5,50.0,48.39,46.2
24.0,50.0,48.67,43.6
24.5,50.0,48.30,49.2
25.0,50.0,48.45,45.8
25.5,50.0,48.89,42.6
26.0,50.0,48.71,47.2
26.5,50.0,48.43,49.3
27.0,50.0,48.59,46.3
27.5,50.0,48.62,47.2
28.0,50.0,48.87,45.2
28.5,50.0,49.23,43.1
29.0,50.0,49.04,47.5
29.5,50.0,48.85,48.4
